"label","id","size","steps","seed","initialization","randomRuleBias","randomSeed","populationSize","eliteCount","elitism","mutationPolicy","mutationRate","mutationBeta","crossover","crossoverRate","tournamentSize","immigrantRate","evaluationWorkers","expression","generation","evaluations","elapsedMs","exposed","totalCells","meanStack","lifetime","fitness","origin","genomeHash"
"Light study 15 · current search defaults","5708e2bd-24c6-4071-a6c6-14fd1cc82357","49","128","cross","mutants","sparse","9090102","64","2","distinct","heavyTailed","0.03409090909090909","1.5","none","0.7","2","0.05","1","exposedCells / area * sqrt(exposedCells / max(1, totalCells))","1639","100535","721076.5283529861","781","5966","7.638924455825864","61","0.117690868095645","mutant","30a576f2df0cbb2f5be17eae7a48ef6d2d2093f5cf7eb57c04c68b49f0e69db7"
"Light study 16 · wider world, broad lineage","f4c449c0-67ab-4e86-acd4-0fe7a3a2b8be","65","256","cross","mutants","sparse","9090316","128","2","distinct","independent","0.03409090909090909","","none","0","2","0.05","1","exposedCells / area * sqrt(exposedCells / max(1, totalCells))","914","90589","1219765.6128290175","2561","56450","22.0421710269426","211","0.12910875144966955","mutant","4cebf3a3c29ca775440d0f656cfbc446108f6f8d9b33292efdf37afc17add950"
"Light study 17 · wider world, thin lineage","9db8e9fd-322e-4af0-b10d-6c667e916e8c","65","256","cross","mutants","sparse","9090317","128","2","distinct","independent","0.03409090909090909","","none","0","2","0.05","1","exposedCells / area * sqrt(exposedCells / max(1, totalCells))","674","66766","917553.1679209983","1881","26838","14.267942583732058","216","0.11786406239803182","mutant","74f0e5888fac99d3ae510438a8ede30207f1ba00f287fdb9bd389f6d2daf6108"
"Light study 18 · stronger cost, thin record","9458a407-fde1-4bda-9a92-dfe6757e8192","65","256","cross","mutants","sparse","9090418","128","2","distinct","independent","0.03409090909090909","","none","0","2","0.05","1","exposedCells / area * exposedCells / max(1, totalCells)","1018","100467","1468551.3635990089","1193","8826","7.398155909471919","77","0.0381671956309827","founder","96ffbbd8f44e9880b9caa270cc18e977f3217025d5d9355094f2bf6ba92698b4"
"Light study 19 · stronger cost, wide record","4b611f72-fed7-48de-a1a7-454e63055ecd","65","256","cross","mutants","sparse","9090419","128","2","distinct","independent","0.03409090909090909","","none","0","2","0.05","1","exposedCells / area * exposedCells / max(1, totalCells)","1016","100528","1517665.9511540057","2401","30622","12.753852561432737","202","0.04455783230450011","mutant","9c95895a736308692966c955a002204d86d4515d50c8a840d67e9b6e8944cfcb"
"Light study 20 · intermediate cost A","cf7f3036-5a09-4145-bf32-23689dde85f3","65","256","cross","mutants","sparse","9090419","128","2","distinct","independent","0.03409090909090909","","none","0","2","0.05","1","exposedCells / area * sqrt(exposedCells / max(1, totalCells)) * sqrt(sqrt(exposedCells / max(1, totalCells)))","1015","100439","1433527.3657090096","2157","30034","13.923968474733426","158","0.0708273769605373","mutant","233aded6169d6e1832973053de0b9869141573b48c49f6f57a9014e831a696ba"
"Light study 21 · intermediate cost B","7329853b-0b1f-4905-bcdb-d2212fd8b914","65","256","cross","mutants","sparse","9090420","128","2","distinct","independent","0.03409090909090909","","none","0","2","0.05","1","exposedCells / area * sqrt(exposedCells / max(1, totalCells)) * sqrt(sqrt(exposedCells / max(1, totalCells)))","1010","100091","1444453.8888189914","2157","30034","13.923968474733426","158","0.0708273769605373","mutant","a20f9781fbad07e728a12f11821d0b73cc8ba492c4db16b6cf9fbcd9df822348"
"Light study 22 · strict cost repeat B","e78a226e-90d7-42c3-b7d1-e534497d52c3","65","256","cross","mutants","sparse","9090421","128","2","distinct","independent","0.03409090909090909","","none","0","2","0.05","1","exposedCells / area * exposedCells / max(1, totalCells)","513","50652","703322.4342640117","1193","8826","7.398155909471919","77","0.0381671956309827","mutant","3df3a3210467b3091e5801a113239589362b3d7a99b27162228ccf0aa991a0d4"
"Light study 23 · strict cost repeat C","ada641df-f948-4ebe-97cd-73564991ba4f","65","256","cross","mutants","sparse","9090422","128","2","distinct","independent","0.03409090909090909","","none","0","2","0.05","1","exposedCells / area * exposedCells / max(1, totalCells)","509","50520","733241.929867994","1193","8826","7.398155909471919","77","0.0381671956309827","mutant","3df3a3210467b3091e5801a113239589362b3d7a99b27162228ccf0aa991a0d4"
"Light study 24 · corrected search preset","d88f4fc2-1655-49fb-b4aa-1f62cc6fd3f2","49","128","cross","mutants","sparse","9090102","64","2","distinct","heavyTailed","0.034","1.5","uniform","0.7","2","0.05","1","exposedCells / area * sqrt(exposedCells / max(1, totalCells))","333","20672","136318.32654399797","929","14114","15.192680301399355","121","0.09926733310752835","founder","75a4352f1e6cc70b99e7cfa98c6dff653820b1708068962c982460a40b803ebe"
